location_code,PSC_Code,FisheryID,FisheryName,Gear
3M10705  888001 H,3M10705,81,4B-6C  Net,2
1M1NE111 4104,1M1NE,197,NE AK  Trl,1
1M1NE111 4104,1M1,198,SE AK Net,2
1M1NE111 4104,1M1,198,SE AK Net,3
1M1NE111 4104,1M1,198,SE AK Net,6
1M1NE111 4104,1M1,199,SE AK Sport,4
2MN26P012SALM PT,2MN26P012,186,JStrBC Spt,4
2MN57P012       129,2MN57P,173,SoC BC Trl,1
2MS22P014HENR BY 15,2MS22,192,SGaStr Spt,4
2MN09H02W       189,2MN09,178,No BC  Net,2
2MN26H006MCMI IN,2MN26H006,188,Cen BC Spt,4
2MS22P016WATERFA 03,2MS22,192,SGaStr Spt,4
3M10745X1,3M10745X1,81,4B-6C  Net,2
2MS20H027       000,2MS20,180,NW VI  Net,2
1M112MB  SE10630,1M1,198,SE AK Net,2
1M112MB  SE10630,1M1,198,SE AK Net,3
1M112MB  SE10630,1M1,198,SE AK Net,6
1M112MB  SE10630,1M1,199,SE AK Sport,4
2MS02H023       605,2MS02,175,SW VI  Trl,1
2MS02H023       605,2MS02,181,SW VI  Net,2
2MS02H023       605,2MS02,181,SW VI  Net,3
2MS23P018ACLA IS 03,2MS23P018,192,SGaStr Spt,4
